Event,573.16,576.382,3.222,S requests volume increase from sound engineer
Event,712.752,719.394,6.642,S checks tuning
Event,948.003,958.953,10.95,camera adjustment
Event,1074.838,1083.566,8.728,applause following conclusion of alap
Event,1083.566,1091.862,8.296,brief onversation between performers
Event,1093.249,1137.593,44.344,T checks tuning
Event,1168.218,1209.722,41.504,tabla solo
Event,1216.778,1223.47,6.692,readjstiment of tabla positions
Event,1334.148,1374.912,40.764,tabla solo
Event,1552.906,1610.111,57.205,tabla solo
Event,1634.537,1637.23,2.693,S listens to check tuning
Event,1667.123,1688.513,21.39,S checks tuning (T keeps playing softly)
Event,1752.424,1856.106,103.682,tabla solo
Event,1856.691,1863.845,7.154,applause
Event,1975.688,2025.76,50.072,tabla solo
Event,2027.265,2046.734,19.469,S checks tuning (T keeps playing softly)
Event,2063.517,2068.133,4.616,T adjusts tabla tuning
Event,2295.255,2372.199,76.944,tabla solo
Event,2403.683,2411.403,7.72,short tabla solo
Event,2704.364,2708.517,4.153,S retunes briefly (T maintains theka)
Event,2791.923,2860.007,68.084,tabla solo
Event,2860.304,2864.688,4.384,applause
Event,2991.751,2996.135,4.384,applause
Event,3375.402,3395.36,19.958,end of performance
Influence S>T,14.217,16.028,1.811,"responds to look, mutual smile"
Influence S>T,30.307,33.769,3.462,appreciation
Influence S>T,54.846,58.076,3.23,appreciation
Influence S>T,102.961,111.115,8.154,appreciation
Influence S>T,131.692,136.538,4.846,appreciation
Influence S>T,162.923,166.384,3.461,appreciation
Influence S>T,189.692,194.846,5.154,appreciation
Influence S>T,196.077,210.615,14.538,appreciation and attention
Influence S>T,213.461,223.077,9.616,nods head in affirmation
Influence S>T,233.769,270.077,36.308,appreciation and attention
Influence S>T,274.923,284.385,9.462,appreciation
Influence S>T,290.654,296.885,6.231,appreciation
Influence S>T,318.192,325.423,7.231,appreciation
Influence S>T,326.307,332.769,6.462,"body movement in time with S phrase, verbal appreciation"
Influence S>T,348.205,352.128,3.923,appreciation
Influence S>T,354.166,372.628,18.462,appreciation and attention
Influence S>T,398.537,404.768,6.231,"body adjustment, appreciation"
Influence S>T,409.306,413.845,4.539,appreciation
Influence S>T,422.037,424.498,2.461,appreciation
Influence S>T,432.229,439.075,6.846,appreciation
Influence S>T,484.017,487.324,3.307,appreciation
Influence S>T,502.093,505.247,3.154,appreciation
Influence S>T,555.208,572.439,17.231,body movement in time with jor
Influence S>T,573.362,576.592,3.23,attention
Influence S>T,595.81,598.579,2.769,appreciation
Influence S>T,607.848,633.54,25.692,body movement and appreciation
Influence S>T,640.079,659.694,19.615,body movement and appreciation
Influence S>T,667.848,673.156,5.308,appreciation
Influence S>T,685.31,688.848,3.538,appreciation
Influence S>T,705.964,712.964,7,attendance to cadence and appreciation
Influence S>T,717.964,721.733,3.769,smile and nod
Influence S>T,723.156,731.464,8.308,close attention and marking of beat with r/h
Influence S>T,732.81,735.887,3.077,appreciation
Influence S>T,739.079,741.771,2.692,appreciation
Influence S>T,749.387,752.618,3.231,appreciation
Influence S>T,779.81,783.041,3.231,appreciation
Influence S>T,790.618,796.618,6,close attention and verbal appreciation
Influence S>T,804.464,818.695,14.231,close attention and body movement
Influence S>T,826.772,831.31,4.538,appreciation
Influence S>T,836.695,849.08,12.385,"close attention, marking of pulse with l/h and appreciation"
Influence S>T,856.974,871.897,14.923,smile and close attention
Influence S>T,903.653,907.5,3.847,appreciation of rapid plucking technique
Influence S>T,921.692,929.153,7.461,appreciation
Influence S>T,941.384,965.538,24.154,appreciation and close attention to rapid r/h plucking
Influence S>T,968.115,986.269,18.154,close attention
Influence S>T,987,994.154,7.154,verbal appreciation
Influence S>T,995.25,998.097,2.847,nods in approval
Influence S>T,1005.635,1012.327,6.692,appreciation and head nods marking increased pulse
Influence S>T,1013.481,1024.02,10.539,close attention
Influence S>T,1024.635,1027.481,2.846,appreciation
Influence S>T,1066.845,1083.076,16.231,"close attention, appreciation and applause"
Influence S>T,1162.239,1167.624,5.385,exchanged glance and smile
Influence S>T,1225.009,1230.163,5.154,attention to dynamics in approach to sam
Influence S>T,1230.94,1234.027,3.087,joint head and body movement on sam
Influence S>T,1242.599,1245.829,3.23,appreciation
Influence S>T,1250.637,1253.099,2.462,emphasised sam
Influence S>T,1262.907,1267.137,4.23,close attention
Influence S>T,1283.138,1288.368,5.23,appreciation
Influence S>T,1292.407,1295.561,3.154,emphasised sam
Influence S>T,1312.215,1315.061,2.846,smile and return of glance
Influence S>T,1325.6,1329.677,4.077,close attention
Influence S>T,1336.484,1339.869,3.385,returns glance
Influence S>T,1371.099,1377.253,6.154,"eye contact, smile, joint movement on sam"
Influence S>T,1392.907,1396.753,3.846,joint movement on sam
Influence S>T,1414.176,1418.869,4.693,"eye contact, smile, emphasis on sam"
Influence S>T,1435.769,1440.307,4.538,attention
Influence S>T,1448.23,1451.537,3.307,appreciation
Influence S>T,1453.999,1457.845,3.846,"joint body movement on sam, smile"
Influence S>T,1466.229,1468.922,2.693,attention
Influence S>T,1479.538,1482.846,3.308,attention
Influence S>T,1493.999,1498.922,4.923,"attention, smile"
Influence S>T,1502.076,1504.999,2.923,attention
Influence S>T,1525.769,1529.384,3.615,attention
Influence S>T,1532.845,1542.768,9.923,"close attention, smile"
Influence S>T,1596.768,1599.692,2.924,"aknowledgement, smile"
Influence S>T,1615.075,1619.845,4.77,attention to increase in tempo
Influence S>T,1622.999,1625.691,2.692,appreciation
Influence S>T,1635.845,1639.999,4.154,attention
Influence S>T,1646.152,1648.306,2.154,smile in response to tihai
Influence S>T,1663.384,1666.537,3.153,joint head and body movement
Influence S>T,1699.46,1703.691,4.231,"verbal appreciation, eye contact and smile"
Influence S>T,1714.153,1720.384,6.231,"close attention to tihai, appreciation"
Influence S>T,1729.768,1732.768,3,appreciation
Influence S>T,1740.614,1745.307,4.693,close attention and appreciation
Influence S>T,1748.768,1752.768,4,"close attention, emphasised sam with body movement"
Influence S>T,1854.768,1857.845,3.077,body movement on sam
Influence S>T,1858.383,1861.152,2.769,gesture of gratitude for applause from audience
Influence S>T,1864.46,1870.691,6.231,close attention to tempo
Influence S>T,1881.922,1887.076,5.154,attention
Influence S>T,1890.538,1893.615,3.077,l/h gesture and pause for effect in response to S sustained bent note
Influence S>T,1896.153,1900.306,4.153,attention
Influence S>T,1915.652,1923.114,7.462,close attention and appreciation of rapid tans
Influence S>T,1923.422,1926.268,2.846,Joint movement on sam
Influence S>T,1930.114,1935.961,5.847,close attention and appreciation
Influence S>T,1937.941,1944.556,6.615,attention
Influence S>T,1951.186,1962.647,11.461,attention and smile
Influence S>T,1969.56,1977.944,8.384,"joint movement on emphasised beats of tihai and mukhra, joint emphasis on sam, smile and eye contact"
Influence S>T,2036.337,2048.799,12.462,close attention to quickening tempo
Influence S>T,2074.785,2078.939,4.154,attention and smile
Influence S>T,2083.845,2086.46,2.615,joint body movement on sam
Influence S>T,2093.125,2104.202,11.077,close attention
